disorder;disorder_OMIM;disorder_cat;symptom;symptom_cat;gene_symb;gene_OMIM;gene_cytoloc
MEN2B;162300;autosomal dominant disease;parathyroid hyperplasia;Abnormality of the parathyroid morphology;RET, MEN2A, HSCR1;164761;10q11.21
MHC class I deficiency;604571;severe combined immunodeficiency;skin ulcer;Localized skin lesion;TAP1, ABCB2, TAP1, RING4, PSF1;170260;6p21.32
MHC class I deficiency;604571;severe combined immunodeficiency;skin ulcer;Localized skin lesion;TAP2, ABCB3, PSF2, RING11;170261;6p21.32
MHC class I deficiency;604571;severe combined immunodeficiency;skin ulcer;Localized skin lesion;TAPBP, TPSN;601962;6p21.32
MHC class II deficiency;209920;severe combined immunodeficiency;villous atrophy;Abnormality of small intestinal villus morphology;MHC2TA, C2TA;600005;16p13.13
MHC class II deficiency;209920;severe combined immunodeficiency;villous atrophy;Abnormality of small intestinal villus morphology;RFX5;601863;1q21.3
MHC class II deficiency;209920;severe combined immunodeficiency;villous atrophy;Abnormality of small intestinal villus morphology;RFXANK;603200;19p13.11
MHC class II deficiency;209920;severe combined immunodeficiency;villous atrophy;Abnormality of small intestinal villus morphology;RFXAP;601861;13q13.3
Machado-Joseph disease;109150;spinocerebellar ataxia;chronic pain;Pain;ATXN3, MJD, SCA3;607047;14q32.12
Majewski syndrome;263520;;hamartoma of tongue;Neoplasm of the tongue;NEK1, SRTD6, SRPS2A;604588;4q33
Marfan syndrome;154700;autosomal dominant disease;dural ectasia;Abnormality of the spinal meninges;FBN1, MFS1, WMS2, SSKS, GPHYSD2, ACMICD, ECTOL1;134797;15q21.1
Marshall-Smith syndrome;602535;syndrome;cognitive impairment;Abnormality of higher mental function;NFIX, NF1A, SOTOS2, MRSHSS;164005;19p13.2
Mast syndrome;248900;hereditary spastic paraplegia;akinetic mutism;Diminished motivation;ACP33, MAST, SPG21;608181;15q22.31
Matthew-Wood syndrome;601186;autosomal genetic disease;diaphragmatic eventration;Abnormality of the diaphragm;STRA6, MCOPS9, MCOPCB8;610745;15q24.1
Meckel syndrome;249000;autosomal recessive disease;clinodactyly;Abnormality of digit;MKS1, MKS, BBS13;609883;17q22
Meckel syndrome;267010;autosomal recessive disease;aplasia/hypoplasia of the lungs;Abnormality of the lung;NPHP3, NPH3, RHPD1, MKS7;608002;3q22.1
Meckel syndrome;603194;autosomal recessive disease;polydactyly;Abnormality of digit;TMEM216, JBTS2, CORS2, MKS2;613277;11q12.2
Meckel syndrome;607361;autosomal recessive disease;polydactyly;Abnormality of digit;TMEM67, MKS3, JBTS6, NPHP11;609884;8q22.1
Meckel syndrome;611134;autosomal recessive disease;agenesis of cerebellar vermis;Aplasia/Hypoplasia of the  cerebellar vermis;CEP290, KIAA0373, 3H11AG, JBTS5, SLSN6, LCA10, BBS14;610142;12q21.32
Meckel syndrome;611561;autosomal recessive disease;bowing of the long bones;Abnormality of long bone morphology;RPGRIP1L, KIAA1005, JBTS7, MKS5;610937;16q12.2
Meckel syndrome;612284;autosomal recessive disease;cystic liver disease;Abnormality of the liver;CC2D2A, KIAA1345, MKS6;612013;4p15.32
Meckel syndrome;613885;autosomal recessive disease;polydactyly;Abnormality of digit;TCTN2, TECT2, MKS8;613846;12q24.31
Meckel syndrome;614175;autosomal recessive disease;postaxial polydactyly;Polydactyly;B9D2, MKS10;611951;19q13.2
Meckel syndrome;614209;autosomal recessive disease;occipital encephalocele;Encephalocele;B9D1, MKSR1, MKS9;614144;17p11.2
Meckel syndrome;615397;autosomal recessive disease;polydactyly;Abnormality of digit;TMEM231, JBTS20, MKS11;614949;16q23.1
Meier-Gorlin syndrome;224690;autosomal recessive disease;small hand;Aplasia/hypoplasia involving bones of the hand;ORC1, ORC1L;601902;1p32.3
Meier-Gorlin syndrome;613800;autosomal recessive disease;feeding difficulties;Abdominal symptom;ORC4, ORC4L;603056;2q22.3-q23.1
Meier-Gorlin syndrome;613803;autosomal recessive disease;feeding difficulties;Abdominal symptom;ORC6, ORC6L;607213;16q11.2
Meier-Gorlin syndrome;613804;autosomal recessive disease;feeding difficulties;Abdominal symptom;CDT1;605525;16q24.3
Meier-Gorlin syndrome;613805;autosomal recessive disease;feeding difficulties;Abdominal symptom;CDC6, CDC18L;602627;17q21.2
Menkes disease;309400;metal metabolism disorder;sepsis;Abnormality of immune system physiology;ATP7A, MNK, MK, OHS, SMAX3;300011;Xq21.1
Moyamoya disease;614042;cerebral arterial disease;moyamoya phenomenon;Abnormality of circle of Willis;ACTA2, ACTSA, AAT6, MYMY5;102620;10q23.31
Moyamoya disease;615750;cerebral arterial disease;achalasia;Gastrointestinal dysmotility;GUCY1A3, GUC1A3, GUCSA3, MYMY6;139396;4q32.1
Muir-Torre syndrome;158320;Lynch syndrome;salivary gland neoplasm;Neoplasm of the oral cavity;MLH1, COCA2, HNPCC2;120436;3p22.2
Muir-Torre syndrome;158320;Lynch syndrome;salivary gland neoplasm;Neoplasm of the oral cavity;MSH2, COCA1, FCC1, HNPCC1;609309;2p21
N syndrome;310465;syndrome;displacement of the external urethral meatus;Abnormality of the urethra;POLA1;312040;Xp22.1-p21.3
Nager syndrome;154400;;aplasia/hypoplasia of the eyebrow;Abnormality of the eyebrow;SF3B4, SF3B49, SAP49, AFD1;605593;1q21.2
Netherton syndrome;256500;autosomal recessive disease;aplasia/hypoplasia of the eyebrow;Abnormality of the eyebrow;SPINK5, LEKTI;605010;5q32
Niemann-Pick disease;257200;non-langerhans-cell histiocytosis;cherry red spot of the macula;Abnormality of the macula;SMPD1, NPD;607608;11p15.4
Niemann-Pick disease;257220;non-langerhans-cell histiocytosis;fatal liver failure in infancy;Hepatic failure;NPC1, NPC;607623;18q11.2
Niemann-Pick disease;607616;non-langerhans-cell histiocytosis;bone-marrow foam cells;Abnormality of macrophages;SMPD1, NPD;607608;11p15.4
Niemann-Pick disease;607625;non-langerhans-cell histiocytosis;perseveration;Behavioral abnormality;NPC2, HE1;601015;14q24.3
Nijmegen breakage syndrome;251260;autosomal recessive disease;urogenital fistula;Abnormality of the genitourinary system;NBS1, NBS;602667;8q21.3
Noonan syndrome;163950;autosomal dominant disease;synovitis;Abnormality of the synovia;PTPN11, PTP2C, SHP2, NS1;176876;12q24.13
Noonan syndrome;609942;autosomal dominant disease;juvenile myelomonocytic leukemia;Myeloid leukemia;KRAS, KRAS2, RASK2, NS, CFC2;190070;12p12.1
Noonan syndrome;610733;autosomal dominant disease;high anterior hairline;Abnormality of the frontal hairline;SOS1, GINGF, GF1, HGF, NS4;182530;2p22.1
Noonan syndrome;611553;autosomal dominant disease;short stature;Growth delay;RAF1, CRAF, NS5, CMD1NN;164760;3p25.2
Noonan syndrome;613224;autosomal dominant disease;short stature;Growth delay;NRAS, ALPS4, NS6, CMNS, NCMS;164790;1p13.2
Noonan syndrome;613706;autosomal dominant disease;prominent forehead;Abnormality of the forehead;BRAF, NS7;164757;7q34
Norum disease;245900;hypolipoproteinemia;opacification of the corneal stroma;Abnormality of corneal stroma;LCAT;606967;16q22.1
Ogden syndrome;300855;X-linked disease;broad hallux;Abnormality of the hallux;NAA10, ARD1A, ARD1, TE2, NATD, MCOPS1;300013;Xq28
Ohdo syndrome;300895;syndrome;clinodactyly;Abnormality of digit;MED12, TNRC11, TRAP230, HOPA, KIAA0192, OKS, FGS1, OHDOX;300188;Xq13.1
Ohtahara syndrome;300088;neonatal period electroclinical syndrome;atonic seizures;Generalized seizures;PCDH19, KIAA1313, EFMR, EIEE9;300460;Xq22.1
Ohtahara syndrome;300607;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;ARHGEF9, PEM2, KIAA0424, EIEE8;300429;Xq11.1-q11.2
Ohtahara syndrome;300672;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;CDKL5, STK9, ISSX, EIEE2;300203;Xp22.13
Ohtahara syndrome;308350;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;ARX, ISSX, PRTS, MRXS1, MRX36, MRX54, MRX43, MRX87, MRX29, MRX32;300382;Xp21.3
Ohtahara syndrome;609304;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;SLC25A22, GC1, EIEE3;609302;11p15.5
Ohtahara syndrome;612164;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;STXBP1, UNC18, EIEE4;602926;9q34.11
Ohtahara syndrome;613402;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;PNKP, PNK, MCSZ, EIEE10, MCSZ;605610;19q13.33
Ohtahara syndrome;613477;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;SPTAN1, NEAS, EIEE5;182810;9q34.11
Ohtahara syndrome;613720;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;KCNQ2, EBN1, EIEE7, BFNS1;602235;20q13.33
Ohtahara syndrome;613721;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;SCN2A, SCN2A1, BFIC3, EIEE11, BFIS3, BFNIS;182390;2q24.3
Ohtahara syndrome;613722;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;PLCB1, KIAA0581, PLCB1A, PLCB1B, EIEE12;607120;20p12.3
Ohtahara syndrome;614558;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;SCN8A, CIAT, EIEE13;600702;12q13.13
Ohtahara syndrome;614959;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;KCNT1, KIAA1422, EIEE14, ENFL5;608167;9q34.3
Ohtahara syndrome;615006;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;ST3GAL3, SIAT6, ST3GALII, MRT12, EIEE15;606494;1p34.1
Ohtahara syndrome;615338;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;TBC1D24, KIAA1171, FIME, EIEE16, DOORS, DFNB86, DFNA65;613577;16p13.3
Ohtahara syndrome;615473;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;GNAO1, EIEE17;139311;16q12.2
Ohtahara syndrome;615476;neonatal period electroclinical syndrome;epileptic encephalopathy;Encephalopathy;SZT2, KIAA0467, EIEE18;615463;1p34.2
Opitz-GBBB syndrome;300000;monogenic disease;prominent forehead;Abnormality of the forehead;MID1, OGS1, BBBG1, FXY, OSX;300552;Xp22.2
PHGDH deficiency;601815;serine deficiency;congenital microcephaly;Microcephaly;PHGDH, NLS1, PHGDHD;606879;1p12
PSAT deficiency;610992;serine deficiency;hyposerinemia;Abnormality of serine metabolism;PSAT1, PSAT, EPIP, PSATD, NLS2;610936;9q21.2
PSPH deficiency;614023;serine deficiency;postnatal growth retardation;Growth delay;PSPH, PSP, PSPHD;172480;7p11.2
Paget's disease of bone;602080;hyperostosis;bilateral conductive hearing impairment;Conductive hearing impairment;PDB4;606263;5q31
Paget's disease of bone;602080;hyperostosis;bilateral conductive hearing impairment;Conductive hearing impairment;SQSTM1, P62, PDB3;601530;5q35.3
Paget's disease of bone;602080;hyperostosis;bilateral conductive hearing impairment;Conductive hearing impairment;TNFRSF11A, RANK, ODFR, OFE, OPTB7;603499;18q21.33
Pallister-Hall syndrome;146510;physical disorder;urogenital fistula;Abnormality of the genitourinary system;GLI3, PAPA, PAPB;165240;7p14.1
Papillon-Lefevre disease;245000;palmoplantar keratosis;skin ulcer;Localized skin lesion;CTSC, CPPI, PALS, PLS, HMS, PDON1, JPD;602365;11q14.2
Parkinson's disease;168600;synucleinopathy;lewy bodies;Cerebral inclusion bodies;ADH1C, ADH3;103730;4q23
Parkinson's disease;168600;synucleinopathy;lewy bodies;Cerebral inclusion bodies;GBA;606463;1q22
Parkinson's disease;168600;synucleinopathy;lewy bodies;Cerebral inclusion bodies;MAPT, MTBT1, DDPAC, MSTD;157140;17q21.31
Parkinson's disease;168600;synucleinopathy;lewy bodies;Cerebral inclusion bodies;TBP, SCA17, HDL4;600075;6q27
Parkinson's disease;168601;synucleinopathy;hypokinesia;Diminished movement;SNCA, NACP, PARK1, PARK4;163890;4q22.1
Parkinson's disease;260300;synucleinopathy;scissor gait;Gait disturbance;FBXO7, FBX7, FBX, PKPS, PARK15;605648;22q12.3
Parkinson's disease;600116;synucleinopathy;substantia nigra gliosis;Abnormality of the substantia nigra;PRKN, PARK2, PDJ, LPRS2;602544;6q26
Parkinson's disease;605543;synucleinopathy;lewy bodies;Cerebral inclusion bodies;SNCA, NACP, PARK1, PARK4;163890;4q22.1
Parkinson's disease;605909;synucleinopathy;slow progression;Pace of progression;PINK1, PARK6;608309;1p36.12
Parkinson's disease;606324;synucleinopathy;slow progression;Pace of progression;DJ1, PARK7;602533;1p36.23
Parkinson's disease;606693;synucleinopathy;hyposmia;Abnormality of the sense of smell;ATP13A2, PARK9, KRPPD, CLN12;610513;1p36.13
Parkinson's disease;607060;synucleinopathy;substantia nigra gliosis;Abnormality of the substantia nigra;LRRK2, PARK8;609007;12q12
Parkinson's disease;607688;synucleinopathy;parkinsonism with favorable response to dopaminergic medication;Parkinsonism;GIGYF2, KIAA0642, PARK11;612003;2q37.1
Parkinson's disease;610297;synucleinopathy;parkinsonism with favorable response to dopaminergic medication;Parkinsonism;HTRA2, OMI, PARK13, PRSS25;606441;2p13.1
Parkinson's disease;612953;synucleinopathy;frontotemporal cerebral atrophy;Cerebral atrophy;PLA2G6, IPLA2, INAD1, NBIA2B, NBIA2A, PARK14;603604;22q13.1
Parkinson's disease;614203;synucleinopathy;dyskinesia;Abnormality of movement;VPS35, MEM3, PARK17;601501;16q11.2
Parkinson's disease;614251;synucleinopathy;lewy bodies;Cerebral inclusion bodies;EIF4G1, EIF4G, PARK18;600495;3q27.1
Parkinson's disease;615528;synucleinopathy;abnormal pyramidal signs;Upper motor neuron dysfunction;DNAJC6, DJC6, KIAA0473, PARK19;608375;1p31.3
Parkinson's disease;615530;synucleinopathy;progressive disorder;Pace of progression;SYNJ1, PARK20;604297;21q22.11
Partington syndrome;309510;syndrome;focal dystonia;Dystonia;ARX, ISSX, PRTS, MRXS1, MRX36, MRX54, MRX43, MRX87, MRX29, MRX32;300382;Xp21.3
Pelger-Huet anomaly;169400;autosomal dominant disease;hyposegmentation of neutrophil nuclei;Abnormality of neutrophil morphology;LBR, PHA;600024;1q42.12
Pelizaeus-Merzbacher disease;312080;leukodystrophy;reduction of oligodendroglia;Abnormality of the oligodendroglia;PLP1, PMD, HLD1, SPG2;300401;Xq22.2
Perrault syndrome;233400;autosomal recessive disease;cognitive impairment;Abnormality of higher mental function;HSD17B4, PRLTS1;601860;5q23.1
Perrault syndrome;614129;autosomal recessive disease;short stature;Growth delay;CLPP, PRLTS3, DFNB81;601119;19p13.3
Perrault syndrome;614926;autosomal recessive disease;sensorineural hearing impairment;Functional abnormality of the inner ear;HARS2, HARSL, HARSR, HO3, PRLTS2;600783;5q31.3
Perrault syndrome;615300;autosomal recessive disease;premature ovarian failure;Abnormality of the ovary;LARS2, PRLTS4;604544;3p21.31
Peutz-Jeghers syndrome;175200;intestinal disease;intestinal polyposis;Intestinal polyp;STK11, PJS, LKB1;602216;19p13.3
Pfeiffer syndrome;101600;acrocephalosyndactylia;broad thumb;Broad phalanges of the hand;FGFR1, FLT2, OGD, KAL2, HH2, HRTFDS;136350;8p11.23-p11.22
Pfeiffer syndrome;101600;acrocephalosyndactylia;broad thumb;Broad phalanges of the hand;FGFR2, BEK, CFD1, JWS, TK14, BBDS;176943;10q26.13
Pick's disease;172700;neurodegenerative disease;perseveration;Behavioral abnormality;MAPT, MTBT1, DDPAC, MSTD;157140;17q21.31
Pick's disease;172700;neurodegenerative disease;perseveration;Behavioral abnormality;PSEN1, AD3;104311;14q24.2
Prader-Willi syndrome;176270;chromosomal disease;clinodactyly;Abnormality of digit;NDN;602117;15q11.2
Prader-Willi syndrome;176270;chromosomal disease;clinodactyly;Abnormality of digit;SNRPN;182279;15q11.2
Proteus syndrome;176920;physical disorder;conjunctival hamartoma;Hamartoma of the eye;AKT1, CWS6;164730;14q32.33
Refsum disease;266500;lipid metabolism disorder;abnormal renal physiology;Abnormality of the urinary system physiology;PHYH, PAHX;602026;10p13
Refsum disease;266510;lipid metabolism disorder;flat face;Abnormal facial shape;PEX12, PBD3A;601758;17q12
Renpenning syndrome;309500;syndromic intellectual disability;aplasia/hypoplasia of the eyebrow;Abnormality of the eyebrow;PQBP1, NPW38, SHS, MRX55, MRXS3, RENS1, MRXS8;300463;Xp11.23
Rett syndrome;312750;pervasive developmental disorder;self-injurious behavior;Abnormal aggressive, impulsive or violent behavior;MECP2, RTT, PPMX, MRX16, MRX79, AUTSX3, MRXSL, MRXS13, MRX79, MRX16;300005;Xq28
Rett syndrome;613454;pervasive developmental disorder;tongue thrusting;Stereotypic behavior;FOXG1, FOXG1B, FKHL1, FKH2, QIN, BF1;164874;14q12
Rh deficiency syndrome;268150;hemolytic anemia;unconjugated hyperbilirubinemia;Hyperbilirubinemia;RHAG, RH50A;180297;6p12.3
Riley-Day syndrome;223900;hereditary sensory neuropathy;corneal erosion;Abnormality of corneal epithelium;IKBKAP, IKAP;603722;9q31.3
Roberts syndrome;268300;autosomal recessive disease;clinodactyly;Abnormality of digit;ESCO2;609353;8p21.1
Robinow syndrome;180700;syndrome;small hand;Aplasia/hypoplasia involving bones of the hand;WNT5A;164975;3p14.3
Robinow syndrome;300695;syndrome;arrhythmia;Abnormality of cardiovascular system physiology;FHL1, SLIM1, XMPMA, KYOT, FHL1A, FHL1B;300163;Xq26.3
Rothmund-Thomson syndrome;268400;skin disease;small hand;Aplasia/hypoplasia involving bones of the hand;RECQL4, RTS, RECQ4;603780;8q24.3
Rubinstein-Taybi syndrome;180849;autosomal dominant disease;impulsivity;Abnormal aggressive, impulsive or violent behavior;CREBBP, CBP, RSTS;600140;16p13.3
Rubinstein-Taybi syndrome;613684;autosomal dominant disease;broad thumb;Broad phalanges of the hand;EP300, RSTS2;602700;22q13.2
SC phocomelia syndrome;269000;autosomal recessive disease;clinodactyly;Abnormality of digit;ESCO2;609353;8p21.1
Saethre-Chotzen syndrome;101400;acrocephalosyndactylia;cognitive impairment;Abnormality of higher mental function;FGFR2, BEK, CFD1, JWS, TK14, BBDS;176943;10q26.13
Saethre-Chotzen syndrome;101400;acrocephalosyndactylia;cognitive impairment;Abnormality of higher mental function;TWIST1, ACS3, SCS, CRS1;601622;7p21.1
Sandhoff disease;268800;gangliosidosis GM2;cognitive impairment;Abnormality of higher mental function;HEXB;606873;5q13.3
Scheie syndrome;607016;mucopolysaccharidosis;cerebral palsy;Abnormality of movement;IDUA, IDA;252800;4p16.3
Schmid metaphyseal chondrodysplasia;156500;metaphyseal dysplasia;short distal phalanx of finger;Aplasia/Hypoplasia of the distal phalanges of the hand;COL10A1;120110;6q22.1
Seckel syndrome;210600;autosomal recessive disease;ivory epiphyses;Abnormality of the epiphyses;ATR, FRP1, SCKL1, FCTCS;601215;3q23
Seckel syndrome;606744;autosomal recessive disease;heart murmur;Abnormality of cardiovascular system physiology;RBBP8, RIM, SCKL2, JWDS;604124;18q11.2
Seckel syndrome;613676;autosomal recessive disease;cognitive impairment;Abnormality of higher mental function;CENPJ, CPAP, MCPH6, SCKL4;609279;13q12.12
Seckel syndrome;613823;autosomal recessive disease;large beaked nose;Abnormality of the nasal dorsum;CEP152, KIAA0912, MCPH9, SCKL5;613529;15q21.1
Seckel syndrome;614728;autosomal recessive disease;short stature;Growth delay;CEP63, SCKL6;614724;3q22.2
Seckel syndrome;614851;autosomal recessive disease;central hypothyroidism;Hypothyroidism;NIN, KIAA1565, SCKL7;608684;14q22.1
Seckel syndrome;615807;autosomal recessive disease;short stature;Growth delay;DNA2, DNA2L, KIAA0083, PEOA6, SCKL8;601810;10q21.3
Senior-Loken syndrome;266900;autosomal recessive disease;stage 5 chronic kidney disease;Chronic kidney disease;NPHP1, NPH1, SLSN1, JBTS4;607100;2q13
Senior-Loken syndrome;606996;autosomal recessive disease;stage 5 chronic kidney disease;Chronic kidney disease;NPHP4, SLSN4;607215;1p36.31
Senior-Loken syndrome;609254;autosomal recessive disease;stage 5 chronic kidney disease;Chronic kidney disease;IQCB1, NPHP5, KIAA0036;609237;3q13.33
Senior-Loken syndrome;610189;autosomal recessive disease;stage 5 chronic kidney disease;Chronic kidney disease;CEP290, KIAA0373, 3H11AG, JBTS5, SLSN6, LCA10, BBS14;610142;12q21.32
Senior-Loken syndrome;613615;autosomal recessive disease;retinal degeneration;Abnormality of the retina;SDCCAG8, CCCAP, SLSN7, BBS16;613524;1q43
Sensenbrenner syndrome;218330;autosomal recessive disease;chronic kidney disease;Renal insufficiency;IFT122, WDR10, CED1;606045;3q21.3-q22.1
Sensenbrenner syndrome;613610;autosomal recessive disease;rhizomelia;Limb undergrowth;WDR35, NAOFEN, KIAA1336, CED2, SRTD7;613602;2p24.1
Silver-Russell syndrome;180860;chromosomal disease;testicular seminoma;Germinoma;H19, D11S813E, ASM1, BWS, WT2;103280;11p15.5
Simpson-Golabi-Behmel syndrome;300209;X-linked disease;clinodactyly;Abnormality of digit;OFD1, CXorf5, SGBS2, JBTS10, RP23;300170;Xp22.2
Simpson-Golabi-Behmel syndrome;312870;X-linked disease;displacement of the external urethral meatus;Abnormality of the urethra;GPC3, SDYS, SGBS1;300037;Xq26.2
Sjogren-Larsson syndrome;270200;autosomal recessive disease;corneal erosion;Abnormality of corneal epithelium;ALDH3A2, ALDH10, SLS, FALDH;609523;17p11.2
Sly syndrome;253220;mucopolysaccharidosis;enlarged thorax;Abnormality of the rib cage;GUSB, MPS7;611499;7q11.21
Smith-Lemli-Opitz syndrome;270400;lipid metabolism disorder;self-injurious behavior;Abnormal aggressive, impulsive or violent behavior;DHCR7, SLOS;602858;11q13.4
Smith-McCort dysplasia;607326;osteochondrodysplasia;irregular epiphyses;Abnormality of the epiphyses;DYM, FLJ90130, DMC, SMC;607461;18q21.1
Smith-McCort dysplasia;615222;osteochondrodysplasia;short metatarsal;Abnormal morphology of bones of the lower limbs;RAB33B, SMC2;605950;4q31.1
Sneddon syndrome;182410;artery disease;amaurosis fugax;Visual impairment;CECR1, PAN, SNEDS;607575;22q11.1
Sotos syndrome;117550;autosomal recessive disease;high anterior hairline;Abnormality of the frontal hairline;NSD1, ARA267, STO, SOTOS1;606681;5q35.2-q35.3
Sotos syndrome;614753;autosomal recessive disease;accelerated skeletal maturation;Abnormality of skeletal maturation;NFIX, NF1A, SOTOS2, MRSHSS;164005;19p13.2
Stargardt disease;248200;age related macular degeneration;bull's eye maculopathy;Abnormality of macular pigmentation;ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2;601691;1p22.1
Stargardt disease;248200;age related macular degeneration;bull's eye maculopathy;Abnormality of macular pigmentation;CNGB3, ACHM3, ACHM1;605080;8q21.3
Stargardt disease;600110;age related macular degeneration;macular flecks;Abnormality of the macula;ELOVL4, ADMD, STGD2, STGD3, ISQMR, SCA34;605512;6q14.1
Stargardt disease;603786;age related macular degeneration;retinal flecks;Abnormality of the retina;PROM1, PROML1, AC133, RP41, CORD12, CD133, MCDR2, STGD4;604365;4p15.32
Stickler syndrome;108300;autosomal dominant disease;abnormality of femoral epiphyses;Abnormality involving the epiphyses of the lower limbs;COL2A1;120140;12q13.11
Stickler syndrome;184840;autosomal dominant disease;exostoses;Neoplasm of the skeletal system;COL11A2, STL3, DFNA13, DFNB53, FBCG2;120290;6p21.32
Stickler syndrome;604841;autosomal dominant disease;long fingers;Abnormality of finger;COL11A1, STL2;120280;1p21.1
Sugio-Kajii syndrome;190351;autosomal dominant disease;increased number of teeth;Abnormal number of teeth;TRPS1;604386;8q23.3
Tangier disease;205400;hypolipoproteinemia;peripheral demyelination;Abnormal peripheral myelination;ABCA1, ABC1, HDLDT1, TGD;600046;9q31.1
Tay-Sachs disease AB variant;272750;gangliosidosis GM2;gm2-ganglioside accumulation;Abnormality of ganglioside metabolism;GM2A;613109;5q33.1
Tay-Sachs disease;272800;gangliosidosis GM2;abnormality of movement;Abnormality of nervous system physiology;HEXA, TSD;606869;15q23
Thomsen disease;160800;myotonic disease;handgrip myotonia;Myotonia;CLCN1;118425;7q34
Townes-Brocks syndrome;107480;autosomal dominant disease;displacement of the external urethral meatus;Abnormality of the urethra;SALL1, HSAL1, TBS;602218;16q12.1
Treacher Collins syndrome;154500;autosomal dominant disease;hypoplasia of the pharynx;Abnormality of the pharynx;TCOF1, MFD1, TCS1;606847;5q32
Treacher Collins syndrome;248390;autosomal dominant disease;mandibulofacial dysostosis;Craniofacial dysostosis;POLR1C, RPA39, RPA40, RPAC1, RPA5, TCS3;610060;6p21.1
Treacher Collins syndrome;613717;autosomal dominant disease;downslanted palpebral fissures;Slanting of the palpebral fissure;POLR1D, RPA16, RPAC2, TCS2;613715;13q12.2
Troyer syndrome;275900;hereditary spastic paraplegia;clinodactyly;Abnormality of digit;SPG20;607111;13q13.3
UV-sensitive syndrome;600630;autosomal recessive disease;pigmentation anomalies of sun-exposed skin;Abnormality of skin pigmentation;ERCC6, CKN2, COFS1, CSB, ARMD5, UVSS1;609413;10q11.23
UV-sensitive syndrome;614621;autosomal recessive disease;infantile onset;Onset;ERCC8, CKN1, CSA, UVSS2;609412;5q12.1
UV-sensitive syndrome;614640;autosomal recessive disease;infantile onset;Onset;UVSSA, KIAA1530, UVSS3;614632;4p16.3
Ullrich congenital muscular dystrophy;254090;congenital muscular dystrophy;facial palsy;Abnormality of the seventh cranial nerve;COL6A1;120220;21q22.3
Ullrich congenital muscular dystrophy;254090;congenital muscular dystrophy;facial palsy;Abnormality of the seventh cranial nerve;COL6A2;120240;21q22.3
Ullrich congenital muscular dystrophy;254090;congenital muscular dystrophy;facial palsy;Abnormality of the seventh cranial nerve;COL6A3;120250;2q37.3
Unverricht-Lundborg syndrome;254800;progressive myoclonus epilepsy;absence seizures;Dialeptic seizures;CSTB, STFB, EPM1, PME, EPM1A, ULD;601145;21q22.3
Usher syndrome;276900;autosomal recessive disease;absent vestibular function;Vestibular hypofunction;MYO7A, USH1B, DFNB2, DFNA11;276903;11q13.5
Usher syndrome;276901;autosomal recessive disease;congenital sensorineural hearing impairment;Sensorineural hearing impairment;PDZD7;612971;10q24.31
Usher syndrome;276901;autosomal recessive disease;congenital sensorineural hearing impairment;Sensorineural hearing impairment;USH2A, RP39;608400;1q41
Usher syndrome;276902;autosomal recessive disease;decreased central vision;Visual loss;CLRN1, USH3A, USH3, RP61;606397;3q25.1
Usher syndrome;276904;autosomal recessive disease;congenital sensorineural hearing impairment;Sensorineural hearing impairment;USH1C, DFNB18A;605242;11p15.1
Usher syndrome;601067;autosomal recessive disease;vestibular dysfunction;Functional abnormality of the inner ear;CDH23, USH1D;605516;10q22.1
Usher syndrome;601067;autosomal recessive disease;vestibular dysfunction;Functional abnormality of the inner ear;PCDH15, DFNB23, USH1F;605514;10q21.1
Usher syndrome;602083;autosomal recessive disease;congenital sensorineural hearing impairment;Sensorineural hearing impairment;PCDH15, DFNB23, USH1F;605514;10q21.1
Usher syndrome;605472;autosomal recessive disease;congenital sensorineural hearing impairment;Sensorineural hearing impairment;GPR98, MASS1, VLGR1, KIAA0686, FEB4, USH2C;602851;5q14.3
Usher syndrome;605472;autosomal recessive disease;congenital sensorineural hearing impairment;Sensorineural hearing impairment;PDZD7;612971;10q24.31
Usher syndrome;606943;autosomal recessive disease;hypoplasia of the nasal bone;Aplasia/Hypoplasia of the nasal bone;SANS, USH1G;607696;17q25.1
Usher syndrome;611383;autosomal recessive disease;retinitis pigmentosa;Abnormal retinal pigmentation;WHRN, CIP98, KIAA1526, DFNB31, USH2D;607928;9q32
Usher syndrome;614504;autosomal recessive disease;delayed gross motor development;Motor delay;HARS, USH3B;142810;5q31.3
Usher syndrome;614869;autosomal recessive disease;congenital onset;Onset;CIB2, KIP2;605564;15q25.1
